STATUS,TYPE,LOCATION,Street,Cross Street,Latitude,Longitude,Neighborhood,Supervisor District,JURSIDCTION,DATE_SUR,SHOP_DATE,MO_INST,YR_INST,RACKS,STAFF,PLACEMENT,INTERNAL_COMMENTS,NOT_RECOMMENDED_REASON,LIST_#,REQ_DATE,RACK_REQ,SUG_PLACE,REASON_REQ,FROM,NAME,EMAIL,PHONE,Location 1
_Installed,Sidewalk Rack,Village Pizzeria,Clement,Arguello,37.783153,-122.459309,Inner Richmond,1,The SFMTA,,,,2010,1,1, ,,n/a,n/a or pre-injunction,,,,,,,,,"1 Clement
San Francisco, California
(37.783153, -122.459309)"
Not Recommended,Sidewalk Rack,Laurel Hill Nursery School,Cook,Euclid,37.783524,-122.452559,,,The SFMTA,,,,,0,,,RD sent email to two contacts and did not receive a response. survey at 20 Cook (JW Geary School),No response from location,n/a or pre-injunction,03/13/2010 12:00 AM,,"at least one at the end of Cook Street, at the foot of the stairs that lead up to Euclid from Cook Street, north of Geary","I am a parent and coop member there, and have spoken with the board; requesting on behalf of the school",parent,Melissa Malm,melissa_malm@yahoo.com,,"1 Cook
San Francisco, California
(37.783524, -122.452559)"
_Installed,Sidewalk Rack,City Hall,Polk,Grove/McAllister,37.778492,-122.418291,Downtown/Civic Center,6,The SFMTA,10/28/2010 12:00 AM,11/16/2010 12:00 AM,12,2010,2,RD,west side,"DPH will deliver two special racks to Sign Shop. Request for repair from Jim Pohl (415.647.5546) on 8/29/2011, put on List 22.",n/a,n/a or pre-injunction,10/28/2010 12:00 AM,2,west side,Special Treasure Island Racks (see comments),DPH/SFBC,Neal Patel,,,"1 Dr. Carlton B. Goodlett Place
San Francisco, California
(37.778492, -122.418291)"
_Installed,Off-Street Rack,1 Embarcadero Center,Clay,Batter,37.794588,-122.399642,Financial District,3,private (publicly accessible),06/08/2012 12:00 AM,,,,7,RD,inside the garage,RD contacted the garage operator and they said all four buildings have a total of 55 bike parking spaces,n/a,n/a or pre-injunction,,,,,,,,,"1 Embarcadero Center
San Francisco, California
(37.794588, -122.399642)"
_Installed,Sidewalk Rack,Office Building,Front,Market,37.791862,-122.398536,Financial District,3,The SFMTA,10/14/2010 12:00 AM,10/28/2010 12:00 AM,11,2010,1,1,"WS Front, 65' N of Market",,n/a,20,12/21/2008 12:00 AM,1,,,,,,,"1 Front
San Francisco, California
(37.791862, -122.398536)"
Not Recommended,Sidewalk Rack,residential,Polk,Fell/Market,37.776768,-122.417851,,,The SFMTA,,,,,,,,"RD informed customer that we do not install bike racks fronting residential only land uses, but there is a bike rack fronting a business on the corner of Fell and Polk within view",Residential-only land-use,n/a or pre-injunction,11/30/2011 12:00 AM,1,,visitors need place to park,resident,Lisa Spitalewitz,lisa.mira.spitalewitz@gmail.com,516-639-7606,"1 Polk
San Francisco, California
(37.776768, -122.417851)"
_Installed,Sidewalk Rack,Wiggle Rack,Sanchez,Duboce,37.769313,-122.431269,Castro/Upper Market,8,The SFMTA,,,,2010,1,1, ,,n/a,17,,,,,,,,,"1 Sanchez
San Francisco, California
(37.769313, -122.431269)"
_Installed,Sidewalk Rack,The American Grilled Cheese Kitchen,South Park Ave,Second St,37.782268,-122.393063,South of Market,6,The SFMTA,03/07/2012 12:00 AM,03/22/2012 12:00 AM,4,2012,2,RD/JC,"SWS 2nd St, 1 rack 20' SE and 1 rack 40' SE of South Park",requestor is a member of the South Beach/Mission Bay Merchant’s Association,n/a,25,03/13/2010 12:00 AM,,,"request that  bike rack(s) be installed on 2nd street, just southeast of the entrance to South Park Ave, all the way to Brannan street. There are a number of local businesses and residents that will benefit from the bike rack installation, is this a major pedestrian and biker thoroughfare through SOMA from the financial district to South Beach/Mission Bay.",owner,Nate Pollak,nate@theamericansf.com,310.351.9188,"1 South Park Ave
San Francisco, California
(37.782268, -122.393063)"
_Installed,Sidewalk Rack,Apple Store,Stockton,Ellis,37.785915,-122.406305,Downtown/Civic Center,3,The SFMTA,04/13/2010 12:00 AM,,,2010,1,SF,on Ellis Street around the corner from Apple Store entrance,"RD left voicemail with Mike of Apple (408.674.9861) after he contacted me, and RD contacted Central Subway staff: Central Subway work on sidewalks until 2014 or later, so no racks until then. original request form customer (Kelly at kalechips@gmail.com).",Sidewalk currently under construction,n/a or pre-injunction,07/07/2009 12:00 AM,2,on Stockton,existing rack being well used,facilities coordinator,Mike,,408-674.9861,"1 Stockton
San Francisco, California
(37.785915, -122.406305)"
Not Recommended,Sidewalk Rack,Sherwood Design Engineers,Union,Front,37.801473,-122.400738,,,The SFMTA,04/12/2012 12:00 AM,,,,,RD,,Office has moved; reconsider if new request comes in for different business,Business no longer in operation,n/a or pre-injunction,01/12/2012 12:00 AM,,in front of building,relocated office,senior associate,Drew C. Northon,dnorton@sherwoodengineers.com,415-677-7300,"1 Union
San Francisco, California
(37.801473, -122.400738)"
