TreeID,qLegalStatus,qSpecies,qAddress,SiteOrder,qSiteInfo,PlantType,qCaretaker,qCareAssistant,PlantDate,DBH,PlotSize,PermitNotes,x,y
41759,Permitted Site,Rhamnus alaternus :: Italian Buckthorn,* Lombard St,10,Sidewalk: Curb side : Cutout,Tree,Private,,06/19/2000 12:00 AM,,,Permit Number 42186,5998894.045593,2119007.035323
41760,Permitted Site,Rhamnus alaternus :: Italian Buckthorn,* Lombard St,13,Sidewalk: Curb side : Cutout,Tree,Private,,06/19/2000 12:00 AM,,,Permit Number 42186,5998894.045593,2119007.035323
41761,Permitted Site,Rhamnus alaternus :: Italian Buckthorn,* Lombard St,11,Sidewalk: Curb side : Cutout,Tree,Private,,06/19/2000 12:00 AM,,,Permit Number 42186,5998894.045593,2119007.035323
41762,Permitted Site,Rhamnus alaternus :: Italian Buckthorn,* Lombard St,1,Sidewalk: Curb side : Cutout,Tree,Private,,06/19/2000 12:00 AM,,,Permit Number 42186,5998894.045593,2119007.035323
41763,Permitted Site,Rhamnus alaternus :: Italian Buckthorn,* Lombard St,8,Sidewalk: Curb side : Cutout,Tree,Private,,06/19/2000 12:00 AM,,,Permit Number 42186,5998894.045593,2119007.035323
41764,Permitted Site,Rhamnus alaternus :: Italian Buckthorn,* Lombard St,12,Sidewalk: Curb side : Cutout,Tree,Private,,06/19/2000 12:00 AM,,,Permit Number 42186,5998894.045593,2119007.035323
41765,Permitted Site,Rhamnus alaternus :: Italian Buckthorn,* Lombard St,9,Sidewalk: Curb side : Cutout,Tree,Private,,06/19/2000 12:00 AM,,,Permit Number 42186,5998894.045593,2119007.035323
41766,Permitted Site,Rhamnus alaternus :: Italian Buckthorn,* Lombard St,2,Sidewalk: Curb side : Cutout,Tree,Private,,06/19/2000 12:00 AM,,,Permit Number 42186,5998894.045593,2119007.035323
41767,Permitted Site,Rhamnus alaternus :: Italian Buckthorn,* Lombard St,7,Sidewalk: Curb side : Cutout,Tree,Private,,06/19/2000 12:00 AM,,,Permit Number 42186,5998894.045593,2119007.035323
41768,Permitted Site,Rhamnus alaternus :: Italian Buckthorn,* Lombard St,6,Sidewalk: Curb side : Cutout,Tree,Private,,06/19/2000 12:00 AM,,,Permit Number 42186,5998894.045593,2119007.035323
41769,Permitted Site,Rhamnus alaternus :: Italian Buckthorn,* Lombard St,5,Sidewalk: Curb side : Cutout,Tree,Private,,06/19/2000 12:00 AM,,,Permit Number 42186,5998894.045593,2119007.035323
41770,Permitted Site,Rhamnus alaternus :: Italian Buckthorn,* Lombard St,4,Sidewalk: Curb side : Cutout,Tree,Private,,06/19/2000 12:00 AM,,,Permit Number 42186,5998894.045593,2119007.035323
41771,Permitted Site,Rhamnus alaternus :: Italian Buckthorn,* Lombard St,3,Sidewalk: Curb side : Cutout,Tree,Private,,06/19/2000 12:00 AM,,,Permit Number 42186,5998894.045593,2119007.035323
16470,City Maintained,Eucalyptus sideroxylon :: Red Ironbark,9X Newhall St,4,Sidewalk: Curb side : Cutout,Tree,DPW,,,12,3X3,,6018697.2048701001,2097076.1109207
16471,City Maintained,Eucalyptus nicholii :: Nichol's Willow-Leafed Peppermint,9X Newhall St,5,Sidewalk: Curb side : Cutout,Tree,DPW,,,3,3X3,,6018697.2048701001,2097076.1109207
16472,City Maintained,Eucalyptus nicholii :: Nichol's Willow-Leafed Peppermint,9X Newhall St,6,Sidewalk: Curb side : Cutout,Tree,DPW,,,18,3X3,,6018697.2048701001,2097076.1109207
16473,City Maintained,Eucalyptus nicholii :: Nichol's Willow-Leafed Peppermint,9X Newhall St,7,Sidewalk: Curb side : Cutout,Tree,DPW,,,12,3X3,,6018697.2048701001,2097076.1109207
16475,City Maintained,Eucalyptus nicholii :: Nichol's Willow-Leafed Peppermint,9X Newhall St,9,Sidewalk: Curb side : Cutout,Tree,DPW,,,18,3X3,,6018697.2048701001,2097076.1109207
16476,City Maintained,Eucalyptus nicholii :: Nichol's Willow-Leafed Peppermint,9X Newhall St,10,Sidewalk: Curb side : Cutout,Tree,DPW,,,12,3X3,,6018697.2048701001,2097076.1109207
16478,City Maintained,Melaleuca linariifolia :: Flaxleaf Paperbark,9X Newhall St,12,Sidewalk: Curb side : Cutout,Tree,DPW,,05/16/1997 12:00 AM,6,3X3,,6018697.2048701001,2097076.1109207
