Fatal,Injured,LightingCondition,RoadSurface,latitude,longitude
0,1,Daylight,Dry,37.7674538,-122.4288923
0,1,Daylight,Dry,37.7904395,-122.3999611
0,1,Daylight,Wet,37.7657823,-122.4075633
0,2,Dark - street lights,Dry,37.773084,-122.4220088
0,1,Dark - street lights,Dry,37.7752728,-122.4660197
0,1,Dark - street lights,Dry,37.77605020000001,-122.4295344
0,1,Daylight,Dry,37.769418,-122.4298506
0,1,Daylight,Dry,37.7211553,-122.4374685
0,1,Daylight,Dry,37.760489,-122.4100074
0,1,Dark - street lights,Dry,37.7982806,-122.4015495
0,1,Daylight,Dry,37.7883284,-122.4083874
0,1,Dark - street lights,Dry,37.7840284,-122.4080265
0,1,Daylight,Dry,37.7621131,-122.4284193
0,1,Daylight,Dry,37.7815217,-122.4048923
0,1,Daylight,Dry,37.76955969999999,-122.4155764
0,1,Dark - street lights,Dry,37.7873448,-122.4199918
0,1,Dark - street lights,Dry,37.7784289,-122.408783
0,1,Daylight,Dry,37.7481763,-122.4202718
0,1,Dusk - dawn,Dry,37.8059266,-122.4187339
0,1,Daylight,Dry,37.7859468,-122.419701
0,1,Daylight,Dry,37.7787499,-122.4147239
0,1,Daylight,Dry,37.74103789999999,-122.4228308
0,1,Daylight,Dry,37.78114559999999,-122.4632224
0,1,Daylight,Dry,37.7824873,-122.4016495
0,1,Dark - street lights,Dry,37.7616996,-122.4215856
0,1,Daylight,Dry,37.7483682,-122.4181484
0,2,Daylight,Dry,37.7508093,-122.415572
0,1,Dark - street lights,Dry,37.738853,-122.486141
0,1,Dark - street lights,Dry,37.7822097,-122.4189391
0,1,Dark - street lights,Wet,37.777228,-122.4640135
0,1,Dark - street lights,Wet,37.7832886,-122.4026768
0,1,Dark - street lights,Wet,37.7843612,-122.4244577
0,0,Daylight,Dry,37.7406608,-122.4238627
0,1,Dark - street lights,Dry,37.79532,-122.4267381
0,1,Daylight,Dry,37.782144,-122.447573
0,1,Daylight,Dry,37.78073060000001,-122.4303488
0,1,Daylight,Dry,37.77024979999999,-122.4300448
0,1,Dusk - dawn,Dry,37.773084,-122.4220088
0,1,Daylight,Dry,37.7832886,-122.4026768
0,1,Daylight,Dry,37.8062265,-122.4238517
0,1,Dark - street lights,Dry,37.790644,-122.420669
0,1,Daylight,Dry,37.79849240000001,-122.43576
0,1,Dark - street lights,Dry,37.7815484,-122.4239256
0,1,Daylight,Dry,37.78579920000001,-122.484058
0,1,Daylight,Dry,37.765183,-122.417487
0,1,Daylight,Dry,37.7798229,-122.4150943
0,1,Daylight,Dry,37.780519,-122.412491
0,2,Daylight,Dry,37.7828054,-122.4676389
0,1,Daylight,Dry,37.7382854,-122.4990133
0,1,Dark - street lights,Dry,37.7654522,-122.4131332
0,1,Dark - no street lights,Wet,37.8017088,-122.4145247
0,1,Daylight,Dry,37.7461024,-122.3872835
0,1,Daylight,Dry,37.7716002,-122.4112596
0,2,Daylight,Dry,37.7888127,-122.4019875
0,1,Daylight,Wet,37.7977158,-122.4305269
0,1,Dark - street lights,Dry,37.7649061,-122.4218982
0,1,Daylight,Wet,37.7808362,-122.3995675
0,1,Dark - street lights,Dry,37.7654522,-122.4131332
0,1,Dark - street lights,Wet,37.7632962,-122.421752
0,1,Daylight,Dry,37.7732145,-122.4442002
0,1,Daylight,Dry,37.7634263,-122.4195461
0,1,Daylight,Dry,37.7786376,-122.4470475
0,1,Dark - street lights,Wet,37.7805673,-122.4081246
0,1,Dark - street lights,Dry,37.7703661,-122.4097209
0,1,Dark - street lights,Dry,37.7938542,-122.4029289
0,1,Dark - street lights,Wet,37.7709333,-122.4550429
0,2,Daylight,Dry,37.7538452,-122.4185982
0,1,Daylight,Dry,37.7659253,-122.4675217
0,1,Daylight,Dry,37.7657931,-122.4499581
0,1,Daylight,Dry,37.7810499,-122.4204812
0,1,Dark - street lights,Dry,37.772424,-122.435558
0,1,Daylight,Dry,37.752629,-122.4119
0,1,Daylight,Wet,37.7766879,-122.4121317
0,1,Daylight,Dry,37.7834617,-122.3962554
0,1,Daylight,Dry,37.7749295,-122.4194155
0,1,Daylight,Dry,37.775012,-122.4100517
0,0,Daylight,Dry,37.7763229,-122.4039309
0,1,Daylight,Dry,37.7908281,-122.4475152
0,1,Daylight,Dry,37.782866,-122.4665744
0,1,Dark - street lights,Dry,37.7697455,-122.4245719
0,1,Daylight,Dry,37.7700827,-122.4069588
0,1,Dark - street lights,Dry,37.8014057,-122.4093955
0,1,Daylight,Dry,37.7892875,-122.4013759
0,1,Daylight,Dry,37.772204,-122.4372752
0,1,Daylight,Dry,37.7660088,-122.4307273
0,1,Dark - street lights,Dry,37.7733533,-122.4357496
0,1,Dark - street lights,Dry,37.7249988,-122.4611913
0,1,Daylight,Dry,37.7614951,-122.4250997
